Time (s),Signal (V),Peak Time (s) ,Sample #,Type
00.470,2.199300746,,,
00.472,2.703676305,,,
00.474,2.804551417,,,
00.476,3.121587482,,,
00.478,3.00630164,,,
00.480,3.179230403,,,
00.482,2.746908496,,,
00.484,2.38664024,,,
00.486,2.040782714,,,
00.488,2.127247095,,,
00.490,2.573979733,,,
00.492,2.876605068,,,
00.494,3.00630164,,,
00.496,3.078355291,,,
00.498,3.179230403,,,
00.500,3.00630164,,,
00.502,2.573979733,,,
00.504,2.127247095,,,
00.506,1.882264681,,,
00.508,1.896675411,,,
00.510,2.314586588,,,
00.512,2.617211924,,,
00.514,2.703676305,,,
00.516,2.790140687,,,
00.518,2.891015798,,,
00.520,2.775729956,,,
00.522,2.573979733,,,
00.524,2.184890016,,,
00.526,2.011961253,,,
00.528,1.968729062,,,
00.530,1.997550523,,,
00.532,2.473104621,,,
00.534,2.689265575,,,
00.536,3.078355291,,,
00.538,2.746908496,,,
00.540,2.646033384,,,
00.542,2.112836365,,,
00.544,2.357818779,,,
00.546,2.38664024,,,
00.548,1.939907602,,,
00.550,2.314586588,,,
00.552,2.271354398,,,
00.554,2.818962147,,,
00.556,2.97748018,,,
00.558,3.078355291,,,
00.560,2.818962147,,,
00.562,2.184890016,,,
00.564,2.055193444,,,
00.566,1.911086142,,,
00.568,1.939907602,,,
00.570,2.026371983,,,
00.572,2.660444114,,,
00.574,2.862194338,,,
00.576,2.862194338,,,
00.578,2.718087035,,,
00.580,2.761319226,,,
00.582,2.487515351,,,
00.584,1.867853951,,,
00.586,1.954318332,,,
00.588,2.026371983,,,
00.590,2.285765128,,,
00.592,2.660444114,,,
00.594,2.963069449,,,
00.596,2.862194338,,,
00.598,2.847783608,,,
00.600,2.818962147,,,
00.602,2.660444114,,,
00.604,2.40105097,,,
00.606,2.40105097,,,
00.608,2.631622654,,,
00.610,3.035123101,,,
00.612,3.669195232,,,
00.614,4.072695678,,,
00.616,4.620303428,,,
00.618,4.634714158,,,
00.620,4.447374665,,,
00.622,3.870945455,,,
00.624,3.00630164,,,
00.626,2.674854845,,,
00.628,2.372229509,,,
00.630,2.42987243,,,
00.632,3.035123101,,,
00.634,2.501926082,,,
00.636,2.588390463,,,
00.638,2.256943667,,,
00.640,2.084014904,,,
00.642,1.464353504,,,
00.644,0.959977945,,,
00.646,1.392299853,,,
00.648,1.21937109,,,
00.650,1.7958003,,,
00.652,2.300175858,,,
00.654,2.530747542,,,
00.656,2.328997319,,,
00.658,2.40105097,,,
00.660,1.968729062,,,
00.662,2.170479286,,,
00.664,2.112836365,,,
00.666,2.040782714,,,
00.668,1.867853951,,,
00.670,2.213711477,,,
00.672,2.847783608,,,
00.674,3.00630164,,,
00.676,2.891015798,,,
00.678,2.790140687,,,
00.680,2.631622654,,,
00.682,2.069604174,,,
00.684,1.911086142,,,
00.686,1.723746648,,,
00.688,1.867853951,,,
00.690,2.458693891,,,
00.692,2.97748018,,,
00.694,2.718087035,,,
00.696,2.919837259,,,
00.698,2.732497766,,,
00.700,2.559569003,,,
00.702,2.314586588,,,
00.704,1.997550523,,,
00.706,1.7958003,,,
00.708,2.228122207,,,
00.710,2.689265575,,,
00.712,2.674854845,,,
00.714,2.833372877,,,
00.716,3.035123101,,,
00.718,2.876605068,,,
00.720,2.588390463,,,
00.722,2.184890016,,,
00.724,2.271354398,,,
00.726,2.199300746,,,
00.728,2.228122207,,,
00.730,2.242532937,,,
00.732,2.948658719,,,
00.734,3.265694785,,,
00.736,2.99189091,,,
00.738,2.876605068,,,
00.740,2.40105097,,,
00.742,2.170479286,,,
00.744,2.011961253,,,
00.746,2.156068556,,,
00.748,2.38664024,,,
00.750,2.530747542,,,
00.752,2.473104621,,,
00.754,3.049533831,,,
00.756,3.409802087,,,
00.758,2.876605068,,,
00.760,2.573979733,,,
00.762,2.530747542,,,
00.764,2.38664024,,,
00.766,2.228122207,,,
00.768,2.011961253,,,
00.770,2.674854845,,,
00.772,2.934247989,,,
00.774,3.107176752,,,
00.776,3.251284054,,,
00.778,3.092766022,,,
00.780,2.833372877,,,
00.782,2.458693891,,,
00.784,2.084014904,,,
00.786,2.199300746,,,
00.788,2.516336812,,,
00.790,2.891015798,,,
00.792,3.135998212,,,
00.794,3.308926975,,,
00.796,3.366569896,,,
00.798,3.308926975,,,
00.800,2.99189091,,,
00.802,2.372229509,,,
00.804,2.602801193,,,
00.806,2.804551417,,,
00.808,2.746908496,,,
00.810,3.02071237,,,
00.812,3.611552311,,,
00.814,3.741248883,,,
00.816,3.669195232,,,
00.818,3.453034278,,,
00.820,3.265694785,,,
00.822,3.063944561,,,
00.824,3.035123101,,,
00.826,2.905426528,,,
00.828,3.150408943,,,
00.830,3.870945455,,,
