Time (s),Signal (V),Peak Time (s),Sample #,Type
00.470,1.98331559,,,
00.472,2.014314855,,,
00.474,2.208060262,,,
00.476,2.285558425,,,
00.478,2.285558425,,,
00.480,2.169311181,,,
00.482,2.037564304,,,
00.484,1.882567979,,,
00.486,1.92131706,,,
00.488,1.913567244,,,
00.490,1.967815958,,,
00.492,2.068563569,,,
00.494,2.177060997,,,
00.496,2.262308976,,,
00.498,2.246809344,,,
00.500,2.19256063,,,
00.502,2.115062467,,,
00.504,1.944566509,,,
00.506,1.843818897,,,
00.508,1.867068346,,,
00.510,1.952316325,,,
00.512,2.068563569,,,
00.514,2.146061732,,,
00.516,2.208060262,,,
00.518,2.301058057,,,
00.520,2.246809344,,,
00.522,2.053063937,,,
00.524,1.936816693,,,
00.526,1.882567979,,,
00.528,1.967815958,,,
00.530,2.107312651,,,
00.532,2.308807874,,,
00.534,2.510303097,,,
00.536,2.673049239,,,
00.538,2.750547401,,,
00.540,2.742797585,,,
00.542,2.71179832,,,
00.544,2.766047034,,,
00.546,2.735047769,,,
00.548,2.727297952,,,
00.550,2.704048504,,,
00.552,2.719548136,,,
00.554,2.688548871,,,
00.556,2.595551076,,,
00.558,2.417305302,,,
00.560,2.270058792,,,
00.562,1.98331559,,,
00.564,1.735321469,,,
00.566,1.580325144,,,
00.568,1.549325879,,,
00.570,1.688822572,,,
00.572,1.805069816,,,
00.574,1.92131706,,,
00.576,1.952316325,,,
00.578,1.874818162,,,
00.580,1.843818897,,,
00.582,1.843818897,,,
00.584,1.712072021,,,
00.586,1.704322204,,,
00.588,1.758570918,,,
00.590,1.79732,,,
00.592,2.04531412,,,
00.594,2.223559895,,,
00.596,2.262308976,,,
00.598,2.169311181,,,
00.600,2.099562834,,,
00.602,1.952316325,,,
00.604,1.913567244,,,
00.606,1.851568714,,,
00.608,1.936816693,,,
00.610,1.960066141,,,
00.612,2.146061732,,,
00.614,2.215810078,,,
00.616,2.231309711,,,
00.618,2.25455916,,,
00.620,2.153811548,,,
00.622,2.014314855,,,
00.624,1.874818162,,,
00.626,1.836069081,,,
00.628,1.92131706,,,
00.630,1.944566509,,,
00.632,2.146061732,,,
00.634,2.25455916,,,
00.636,2.231309711,,,
00.638,2.262308976,,,
00.640,2.19256063,,,
00.642,2.029814488,,,
00.644,1.890317795,,,
00.646,1.890317795,,,
00.648,1.929066876,,,
00.650,1.998815223,,,
00.652,2.184810813,,,
00.654,2.239059527,,,
00.656,2.246809344,,,
00.658,2.215810078,,,
00.660,2.161561364,,,
00.662,1.944566509,,,
00.664,1.843818897,,,
00.666,1.890317795,,,
00.668,1.929066876,,,
00.670,2.022064672,,,
00.672,2.215810078,,,
00.674,2.262308976,,,
00.676,2.285558425,,,
00.678,2.270058792,,,
00.680,2.184810813,,,
00.682,1.998815223,,,
00.684,1.85931853,,,
00.686,1.85931853,,,
00.688,1.975565774,,,
00.690,2.04531412,,,
00.692,2.208060262,,,
00.694,2.308807874,,,
00.696,2.301058057,,,
00.698,2.246809344,,,
00.700,2.107312651,,,
00.702,2.006565039,,,
00.704,1.952316325,,,
00.706,1.905817427,,,
00.708,1.98331559,,,
00.710,2.076313385,,,
00.712,2.270058792,,,
00.714,2.386306036,,,
00.716,2.370806404,,,
00.718,2.270058792,,,
00.720,2.215810078,,,
00.722,2.068563569,,,
00.724,1.905817427,,,
00.726,2.037564304,,,
00.728,2.068563569,,,
00.730,2.153811548,,,
00.732,2.386306036,,,
00.734,2.425055118,,,
00.736,2.425055118,,,
00.738,2.370806404,,,
00.740,2.293308241,,,
00.742,2.130562099,,,
00.744,2.022064672,,,
00.746,1.998815223,,,
00.748,2.138311916,,,
00.750,2.31655769,,,
