Time (s),Signal (V),Peak Time (s) ,Sample #,Type
00.000,2.635078416,00.556,278,N
00.002,2.704420107,00.798,399,t
00.004,2.583072147,01.512,756,N
00.006,2.375047073,01.762,881,t
00.008,2.132351154,02.440,1220,N
00.010,1.958996926,02.688,1344,t
00.012,1.872319812,03.380,1690,N
00.014,1.976332349,03.616,1808,t
00.016,2.167022,04.244,2122,N
00.018,2.461724188,04.498,2249,t
00.020,2.617742993,05.112,2556,N
00.022,2.687084684,05.370,2685,t
00.024,2.617742993,06.038,3019,N
00.026,2.427053342,06.300,3150,t
00.028,2.115015731,06.950,3475,N
00.030,1.976332349,07.196,3598,t
00.032,1.906990657,07.836,3918,N
00.034,2.011003194,08.088,4044,t
00.036,2.271034536,08.718,4359,N
00.038,2.548401302,08.968,4484,t
00.040,2.704420107,,,
00.042,2.739090953,,,
00.044,2.617742993,,,
00.046,2.444388765,,,
00.048,2.167022,,,
00.050,1.976332349,,,
00.052,1.976332349,,,
00.054,2.04567404,,,
00.056,2.253699114,,,
00.058,2.565736724,,,
00.060,2.72175553,,,
00.062,2.773761798,,,
00.064,2.669749261,,,
00.066,2.461724188,,,
00.068,2.167022,,,
00.070,1.993667771,,,
00.072,1.993667771,,,
00.074,2.080344885,,,
00.076,2.271034536,,,
00.078,2.583072147,,,
00.080,2.739090953,,,
00.082,2.773761798,,,
00.084,2.635078416,,,
00.086,2.444388765,,,
00.088,2.149686577,,,
00.090,1.993667771,,,
00.092,1.993667771,,,
00.094,2.132351154,,,
00.096,2.288369959,,,
00.098,2.60040757,,,
00.100,2.756426375,,,
00.102,2.773761798,,,
00.104,2.617742993,,,
00.106,2.427053342,,,
00.108,2.132351154,,,
00.110,1.976332349,,,
00.112,1.958996926,,,
00.114,2.097680308,,,
00.116,2.253699114,,,
00.118,2.617742993,,,
00.120,2.72175553,,,
00.122,2.756426375,,,
00.124,2.60040757,,,
00.126,2.392382496,,,
00.128,2.080344885,,,
00.130,1.958996926,,,
00.132,1.941661503,,,
00.134,2.097680308,,,
00.136,2.305705382,,,
00.138,2.60040757,,,
00.140,2.704420107,,,
00.142,2.704420107,,,
00.144,2.548401302,,,
00.146,2.392382496,,,
00.148,2.028338617,,,
00.150,1.993667771,,,
00.152,1.92432608,,,
00.154,2.115015731,,,
00.156,2.323040805,,,
00.158,2.60040757,,,
00.160,2.72175553,,,
00.162,2.739090953,,,
00.164,2.565736724,,,
00.166,2.357711651,,,
00.168,2.080344885,,,
00.170,1.958996926,,,
00.172,1.958996926,,,
00.174,2.149686577,,,
00.176,2.357711651,,,
00.178,2.635078416,,,
00.180,2.756426375,,,
00.182,2.704420107,,,
00.184,2.565736724,,,
00.186,2.375047073,,,
00.188,2.080344885,,,
00.190,1.976332349,,,
00.192,1.993667771,,,
00.194,2.167022,,,
00.196,2.375047073,,,
00.198,2.652413839,,,
00.200,2.72175553,,,
00.202,2.704420107,,,
00.204,2.531065879,,,
00.206,2.305705382,,,
00.208,2.028338617,,,
00.210,1.941661503,,,
00.212,1.958996926,,,
00.214,2.149686577,,,
00.216,2.392382496,,,
00.218,2.617742993,,,
00.220,2.739090953,,,
00.222,2.687084684,,,
00.224,2.496395033,,,
00.226,2.271034536,,,
00.228,2.011003194,,,
00.230,1.906990657,,,
00.232,1.941661503,,,
00.234,2.167022,,,
00.236,2.409717919,,,
00.238,2.635078416,,,
00.240,2.72175553,,,
00.242,2.669749261,,,
00.244,2.444388765,,,
00.246,2.236363691,,,
00.248,1.993667771,,,
00.250,1.889655234,,,
00.252,1.993667771,,,
00.254,2.167022,,,
