Time (s),Signal (V),Peak Time (s) ,Sample #,Type
00.000,3.075950405,00.468,234,N
00.002,2.796942139,00.706,353,t
00.004,2.695484588,01.256,628,N
00.006,2.365747546,01.512,756,t
00.008,2.619391424,02.118,1059,N
00.010,2.644755812,02.370,1185,t
00.012,2.644755812,02.920,1460,N
00.014,2.813851731,03.172,1586,t
00.016,2.881490098,03.736,1868,N
00.018,2.991402446,03.992,1996,t
00.020,3.059040813,04.596,2298,N
00.022,2.805396935,04.826,2413,t
00.024,2.568662649,05.354,2677,N
00.026,2.391111934,05.604,2802,t
00.028,2.636301016,06.146,3073,N
00.030,2.602481833,06.402,3201,t
00.032,2.644755812,06.946,3473,N
00.034,2.822306527,07.190,3595,t
00.036,2.830761323,07.794,3897,N
00.038,3.075950405,08.050,4025,t
00.040,3.067495609,,,
00.042,2.881490098,,,
00.044,2.644755812,,,
00.046,2.35729275,,,
00.048,2.534843465,,,
00.050,2.585572241,,,
00.052,2.560207853,,,
00.054,2.763122955,,,
00.056,2.915309282,,,
00.058,3.135133976,,,
00.060,3.143588772,,,
00.062,2.805396935,,,
00.064,2.560207853,,,
00.066,2.315018771,,,
00.068,2.585572241,,,
00.070,2.534843465,,,
00.072,2.644755812,,,
00.074,2.881490098,,,
00.076,2.805396935,,,
00.078,3.160498364,,,
00.080,3.16895316,,,
00.082,2.864580507,,,
00.084,2.543298261,,,
00.086,2.306563975,,,
00.088,2.543298261,,,
00.090,2.551753057,,,
00.092,2.661665404,,,
00.094,2.788487343,,,
00.096,2.780032547,,,
00.098,3.067495609,,,
00.100,3.084405201,,,
00.102,2.847670915,,,
00.104,2.594027037,,,
00.106,2.289654383,,,
00.108,2.577117445,,,
00.110,2.568662649,,,
00.112,2.661665404,,,
00.114,2.771577751,,,
00.116,2.839216119,,,
00.118,3.092859997,,,
00.120,2.966038058,,,
00.122,2.847670915,,,
00.124,2.467205098,,,
00.126,2.365747546,,,
00.128,2.636301016,,,
00.130,2.577117445,,,
00.132,2.644755812,,,
00.134,2.720848976,,,
00.136,2.805396935,,,
00.138,3.075950405,,,
00.140,2.98294765,,,
00.142,2.780032547,,,
00.144,2.408021526,,,
00.146,2.35729275,,,
00.148,2.517933873,,,
00.150,2.543298261,,,
