Time (s),Signal (V),Peak Time (s) ,Sample #,Type
00.470,2.376953538,,,
00.472,2.30137881,,,
00.474,2.30137881,,,
00.476,2.331608701,,,
00.478,2.437413321,,,
00.480,2.437413321,,,
00.482,2.558332886,,,
00.484,2.618792668,,,
00.486,2.603677722,,,
00.488,2.54321794,,,
00.490,2.437413321,,,
00.492,2.392068484,,,
00.494,2.512988049,,,
00.496,2.331608701,,,
00.498,2.195574191,,,
00.500,2.512988049,,,
00.502,2.724597287,,,
00.504,2.769942124,,,
00.506,2.724597287,,,
00.508,2.664137505,,,
00.510,2.482758158,,,
00.512,2.452528266,,,
00.514,2.437413321,,,
00.516,2.467643212,,,
00.518,2.603677722,,,
00.520,2.754827179,,,
00.522,2.815286961,,,
00.524,2.905976635,,,
00.526,2.800172015,,,
00.528,2.78505707,,,
00.530,2.769942124,,,
00.532,2.664137505,,,
00.534,2.649022559,,,
00.536,2.709482342,,,
00.538,2.769942124,,,
00.540,2.966436417,,,
00.542,3.16293071,,,
00.544,3.16293071,,,
00.546,3.132700819,,,
00.548,3.132700819,,,
00.550,2.905976635,,,
00.552,2.830401907,,,
00.554,2.845516852,,,
00.556,2.860631798,,,
00.558,3.0268962,,,
00.560,3.223390493,,,
00.562,3.238505438,,,
00.564,3.329195112,,,
00.566,3.253620384,,,
00.568,3.132700819,,,
00.570,3.0268962,,,
00.572,2.966436417,,,
00.574,2.981551363,,,
00.576,3.057126091,,,
00.578,3.193160601,,,
00.580,3.344310058,,,
00.582,3.40476984,,,
00.584,3.298965221,,,
00.586,3.253620384,,,
00.588,3.102470928,,,
00.590,3.011781254,,,
00.592,2.996666308,,,
00.594,2.830401907,,,
00.596,2.92109158,,,
00.598,3.072241037,,,
00.600,3.087355982,,,
00.602,3.147815765,,,
00.604,3.132700819,,,
00.606,2.92109158,,,
00.608,2.845516852,,,
00.610,2.754827179,,,
00.612,2.739712233,,,
00.614,2.603677722,,,
00.616,2.573447831,,,
00.618,2.618792668,,,
00.620,2.739712233,,,
00.622,2.754827179,,,
00.624,2.905976635,,,
00.626,2.800172015,,,
00.628,2.573447831,,,
00.630,2.407183429,,,
00.632,2.316493756,,,
00.634,2.376953538,,,
00.636,2.376953538,,,
00.638,2.467643212,,,
00.640,2.573447831,,,
00.642,2.588562777,,,
00.644,2.54321794,,,
00.646,2.482758158,,,
00.648,2.331608701,,,
00.650,2.240919028,,,
00.652,2.135114408,,,
00.654,2.180459245,,,
00.656,2.135114408,,,
00.658,2.331608701,,,
00.660,2.452528266,,,
00.662,2.452528266,,,
00.664,2.467643212,,,
00.666,2.437413321,,,
00.668,2.316493756,,,
00.670,2.195574191,,,
00.672,2.119999463,,,
00.674,2.135114408,,,
00.676,2.210689136,,,
00.678,2.407183429,,,
00.680,2.467643212,,,
00.682,2.422298375,,,
00.684,2.392068484,,,
00.686,2.407183429,,,
00.688,2.271148919,,,
00.690,2.1653443,,,
00.692,2.104884517,,,
00.694,2.104884517,,,
00.696,2.180459245,,,
00.698,2.482758158,,,
00.700,2.54321794,,,
00.702,2.331608701,,,
00.704,2.286263864,,,
00.706,2.452528266,,,
00.708,2.271148919,,,
00.710,2.210689136,,,
00.712,2.104884517,,,
00.714,2.119999463,,,
00.716,2.225804082,,,
00.718,2.392068484,,,
00.720,2.467643212,,,
00.722,2.512988049,,,
00.724,2.437413321,,,
00.726,2.407183429,,,
00.728,2.271148919,,,
00.730,2.225804082,,,
00.732,2.1653443,,,
00.734,2.210689136,,,
00.736,2.180459245,,,
00.738,2.361838593,,,
00.740,2.54321794,,,
00.742,2.573447831,,,
00.744,2.528102994,,,
00.746,2.392068484,,,
00.748,2.135114408,,,
00.750,2.135114408,,,
00.752,2.135114408,,,
00.754,2.271148919,,,
00.756,2.286263864,,,
00.758,2.452528266,,,
00.760,2.528102994,,,
00.762,2.467643212,,,
00.764,2.558332886,,,
00.766,2.392068484,,,
00.768,2.119999463,,,
00.770,2.074654626,,,
00.772,2.150229354,,,
00.774,2.271148919,,,
00.776,2.256033973,,,
00.778,2.452528266,,,
00.780,2.497873103,,,
00.782,2.482758158,,,
00.784,2.512988049,,,
00.786,2.482758158,,,
00.788,2.316493756,,,
00.790,2.210689136,,,
00.792,2.240919028,,,
00.794,2.240919028,,,
00.796,2.1653443,,,
00.798,2.452528266,,,
00.800,2.407183429,,,
00.802,2.452528266,,,
