Time (s),Signal (V),Peak Time (s) ,Sample #,Type
00.000,1.825678443,00.774,387,N
00.002,1.690709755,01.026,513,t
00.004,1.525748026,01.572,786,N
00.006,1.675713235,01.812,906,t
00.008,2.020633213,02.446,1223,N
00.010,2.470528837,02.694,1347,t
00.012,2.245581025,03.516,1758,N
00.014,2.395546233,03.760,1880,t
00.016,2.215587984,04.628,2314,N
00.018,2.170598421,04.874,2437,t
00.020,1.540744547,05.668,2834,N
00.022,1.420772381,05.916,2958,t
00.024,1.495754985,06.682,3341,N
00.026,1.765692359,06.940,3470,t
00.028,2.065622776,07.686,3843,N
00.030,2.380549712,07.936,3968,t
00.032,2.425539275,08.664,4332,N
00.034,2.560507962,08.914,4457,t
00.036,2.33556015,09.544,4772,N
00.038,2.350556671,09.786,4893,t
00.040,1.735699318,,,
00.042,1.495754985,,,
00.044,1.375782818,,,
00.046,1.480758464,,,
00.048,1.900661047,,,
00.050,2.410542754,,,
00.052,2.905427941,,,
00.054,2.830445337,,,
00.056,2.590501004,,,
00.058,2.455532317,,,
00.060,1.96064713,,,
00.062,1.540744547,,,
00.064,1.900661047,,,
00.066,1.990640171,,,
00.068,2.245581025,,,
00.070,2.425539275,,,
00.072,2.725469691,,,
00.074,2.605497525,,,
00.076,2.410542754,,,
00.078,2.245581025,,,
00.080,1.915657567,,,
00.082,1.630723672,,,
00.084,1.615727151,,,
00.086,1.825678443,,,
00.088,2.200591463,,,
00.090,2.590501004,,,
00.092,2.770459253,,,
00.094,2.965414024,,,
00.096,2.575504483,,,
00.098,2.095615817,,,
00.100,1.810681922,,,
00.102,1.915657567,,,
00.104,1.765692359,,,
00.106,2.215587984,,,
00.108,2.320563629,,,
00.110,2.485525358,,,
00.112,2.620494045,,,
00.114,2.530514921,,,
00.116,2.470528837,,,
00.118,2.980410545,,,
00.120,2.560507962,,,
00.122,2.095615817,,,
00.124,1.660716714,,,
00.126,2.260577546,,,
00.128,2.665483608,,,
00.130,3.160368794,,,
00.132,3.460299211,,,
00.134,2.860438378,,,
00.136,2.755462733,,,
00.138,2.5155184,,,
00.140,2.020633213,,,
00.142,1.975643651,,,
00.144,2.245581025,,,
00.146,2.33556015,,,
00.148,2.785455774,,,
00.150,3.145372274,,,
00.152,3.310334003,,,
00.154,3.220354878,,,
00.156,3.44530269,,,
00.158,2.950417503,,,
00.160,2.650487087,,,
00.162,2.605497525,,,
00.164,2.785455774,,,
00.166,2.860438378,,,
00.168,3.490292252,,,
00.170,3.670250502,,,
00.172,3.970180918,,,
00.174,4.090153084,,,
00.176,3.565274856,,,
00.178,2.920424462,,,
00.180,2.89043142,,,
00.182,3.100382711,,,
00.184,3.535281815,,,
00.186,3.775226148,,,
00.188,4.045163522,,,
00.190,3.685247023,,,
00.192,3.460299211,,,
00.194,3.64025746,,,
00.196,3.580271377,,,
00.198,3.220354878,,,
00.200,3.190361836,,,
00.202,3.235351398,,,
00.204,3.340327044,,,
00.206,3.160368794,,,
00.208,3.700243543,,,
00.210,3.910194835,,,
00.212,4.345093938,,,
00.214,4.150139168,,,
00.216,3.805219189,,,
00.218,3.07038967,,,
00.220,3.145372274,,,
00.222,2.905427941,,,
00.224,3.145372274,,,
00.226,3.385316607,,,
00.228,3.805219189,,,
00.230,3.775226148,,,
00.232,3.64025746,,,
00.234,3.355323565,,,
00.236,3.235351398,,,
00.238,2.905427941,,,
00.240,2.980410545,,,
00.242,2.320563629,,,
00.244,2.230584504,,,
00.246,2.365553192,,,
00.248,2.725469691,,,
00.250,2.920424462,,,
00.252,3.325330523,,,
00.254,2.800452295,,,
00.256,2.635490566,,,
00.258,2.380549712,,,
00.260,2.230584504,,,
00.262,2.245581025,,,
00.264,2.1556019,,,
00.266,2.215587984,,,
00.268,2.635490566,,,
00.270,2.905427941,,,
00.272,2.725469691,,,
00.274,2.605497525,,,
00.276,2.740466212,,,
00.278,2.470528837,,,
00.280,2.050626255,,,
00.282,1.735699318,,,
00.284,1.96064713,,,
00.286,2.230584504,,,
00.288,2.530514921,,,
00.290,2.875434899,,,
00.292,2.935420982,,,
00.294,2.425539275,,,
00.296,2.350556671,,,
00.298,1.885664526,,,
00.300,1.735699318,,,
