Time (s),Signal (V),Peak Time (s) ,Sample #,Type
00.000,2.235111411,00.704,352,N
00.002,2.248008275,00.938,469,t
00.004,2.273802004,01.454,727,N
00.006,2.26090514,01.678,839,t
00.008,2.209317681,02.270,1135,N
00.010,2.222214546,02.492,1246,t
00.012,2.196420817,03.198,1599,N
00.014,2.196420817,03.430,1715,t
00.016,2.196420817,04.134,2067,N
00.018,2.235111411,04.366,2183,t
00.020,2.299595733,05.050,2525,N
00.022,2.338286327,05.276,2638,t
00.024,2.312492598,05.984,2992,N
00.026,2.299595733,06.218,3109,t
00.028,2.273802004,06.872,3436,N
00.030,2.248008275,07.112,3556,t
00.032,2.235111411,07.740,3870,N
00.034,2.248008275,07.960,3980,t
00.036,2.273802004,08.586,4293,N
00.038,2.351183192,08.814,4407,t
00.040,2.325389462,,,
00.042,2.338286327,,,
00.044,2.351183192,,,
00.046,2.351183192,,,
00.048,2.312492598,,,
00.050,2.299595733,,,
00.052,2.312492598,,,
00.054,2.312492598,,,
00.056,2.312492598,,,
00.058,2.338286327,,,
00.060,2.351183192,,,
00.062,2.338286327,,,
00.064,2.351183192,,,
00.066,2.376976921,,,
00.068,2.364080056,,,
00.070,2.338286327,,,
00.072,2.312492598,,,
00.074,2.312492598,,,
00.076,2.325389462,,,
00.078,2.40277065,,,
00.080,2.415667514,,,
00.082,2.428564379,,,
00.084,2.467254973,,,
00.086,2.454358108,,,
00.088,2.441461244,,,
00.090,2.389873785,,,
00.092,2.364080056,,,
00.094,2.376976921,,,
00.096,2.376976921,,,
00.098,2.415667514,,,
00.100,2.441461244,,,
00.102,2.454358108,,,
00.104,2.480151837,,,
00.106,2.505945566,,,
00.108,2.454358108,,,
00.110,2.441461244,,,
00.112,2.467254973,,,
00.114,2.467254973,,,
00.116,2.480151837,,,
00.118,2.518842431,,,
00.120,2.557533025,,,
00.122,2.596223618,,,
00.124,2.609120483,,,
00.126,2.570429889,,,
00.128,2.557533025,,,
00.130,2.570429889,,,
00.132,2.557533025,,,
00.134,2.557533025,,,
00.136,2.634914212,,,
00.138,2.647811076,,,
00.140,2.68650167,,,
00.142,2.725192264,,,
00.144,2.725192264,,,
00.146,2.750985993,,,
00.148,2.725192264,,,
00.150,2.712295399,,,
00.152,2.712295399,,,
00.154,2.699398535,,,
00.156,2.776779722,,,
00.158,2.854160909,,,
00.160,2.867057774,,,
00.162,2.867057774,,,
00.164,2.905748368,,,
00.166,2.905748368,,,
00.168,2.854160909,,,
00.170,2.867057774,,,
00.172,2.841264045,,,
00.174,2.841264045,,,
00.176,2.867057774,,,
00.178,2.918645232,,,
00.180,2.944438961,,,
00.182,2.944438961,,,
00.184,2.970232691,,,
00.186,2.944438961,,,
00.188,2.918645232,,,
00.190,2.905748368,,,
00.192,2.879954639,,,
00.194,2.867057774,,,
00.196,2.879954639,,,
00.198,2.854160909,,,
00.200,2.879954639,,,
00.202,2.879954639,,,
00.204,2.892851503,,,
00.206,2.82836718,,,
00.208,2.802573451,,,
00.210,2.738089128,,,
00.212,2.68650167,,,
00.214,2.634914212,,,
00.216,2.647811076,,,
00.218,2.673604806,,,
00.220,2.673604806,,,
00.222,2.634914212,,,
00.224,2.634914212,,,
00.226,2.583326754,,,
00.228,2.557533025,,,
00.230,2.518842431,,,
00.232,2.467254973,,,
00.234,2.441461244,,,
00.236,2.454358108,,,
00.238,2.454358108,,,
00.240,2.467254973,,,
00.242,2.480151837,,,
00.244,2.454358108,,,
00.246,2.480151837,,,
00.248,2.493048702,,,
00.250,2.531739295,,,
00.252,2.54463616,,,
00.254,2.570429889,,,
00.256,2.622017347,,,
00.258,2.673604806,,,
00.260,2.68650167,,,
00.262,2.763882858,,,
00.264,2.750985993,,,
00.266,2.68650167,,,
00.268,2.673604806,,,
00.270,2.634914212,,,
00.272,2.660707941,,,
00.274,2.660707941,,,
00.276,2.68650167,,,
00.278,2.699398535,,,
00.280,2.738089128,,,
00.282,2.750985993,,,
00.284,2.789676587,,,
00.286,2.750985993,,,
00.288,2.712295399,,,
00.290,2.699398535,,,
00.292,2.699398535,,,
00.294,2.699398535,,,
00.296,2.712295399,,,
00.298,2.738089128,,,
00.300,2.763882858,,,
00.302,2.776779722,,,
00.304,2.815470316,,,
00.306,2.802573451,,,
00.308,2.750985993,,,
00.310,2.750985993,,,
00.312,2.750985993,,,
00.314,2.750985993,,,
00.316,2.776779722,,,
00.318,2.789676587,,,
00.320,2.776779722,,,
00.322,2.815470316,,,
00.324,2.815470316,,,
00.326,2.815470316,,,
00.328,2.789676587,,,
00.330,2.725192264,,,
00.332,2.712295399,,,
