Time (s),Signal (V),Peak Time (s) ,Sample #,Type
0.472,2.204769684,,,
0.474,2.059788211,,,
0.476,2.011461053,,,
0.478,2.027570105,,,
0.480,2.043679158,,,
0.482,1.979242947,,,
0.484,1.850370526,,,
0.486,1.479862316,,,
0.488,1.350989895,,,
0.490,1.286553684,,,
0.492,1.495971368,,,
0.494,1.753716211,,,
0.496,2.092006316,,,
0.498,2.462514526,,,
0.500,2.559168842,,,
0.502,2.494732632,,,
0.504,2.365860211,,,
0.506,1.930915789,,,
0.508,1.850370526,,,
0.510,1.818152421,,,
0.512,1.979242947,,,
0.514,2.172551579,,,
0.516,2.462514526,,,
0.518,2.671932211,,,
0.520,2.704150316,,,
0.522,2.559168842,,,
0.524,2.381969263,,,
0.526,2.059788211,,,
0.528,1.850370526,,,
0.530,1.818152421,,,
0.532,2.043679158,,,
0.534,2.172551579,,,
0.536,2.591386947,,,
0.538,2.736368421,,,
0.540,2.736368421,,,
0.542,2.623605053,,,
0.544,2.381969263,,,
0.546,1.995352,,,
0.548,1.882588632,,,
0.550,1.898697684,,,
0.552,2.092006316,,,
0.554,2.220878737,,,
0.556,2.575277895,,,
0.558,2.768586526,,,
0.560,2.784695579,,,
0.562,2.655823158,,,
0.564,2.398078316,,,
0.566,2.092006316,,,
0.568,1.930915789,,,
0.570,1.914806737,,,
0.572,2.092006316,,,
0.574,2.301424,,,
0.576,2.623605053,,,
0.578,2.784695579,,,
0.580,2.800804632,,,
0.582,2.607496,,,
0.584,2.430296421,,,
0.586,2.124224421,,,
0.588,1.995352,,,
0.590,1.963133895,,,
0.592,2.124224421,,,
0.594,2.398078316,,,
0.596,2.688041263,,,
0.598,2.833022737,,,
0.600,2.833022737,,,
0.602,2.688041263,,,
0.604,2.446405474,,,
0.606,2.124224421,,,
0.608,2.011461053,,,
0.610,2.027570105,,,
0.612,2.269205895,,,
0.614,2.446405474,,,
0.616,2.736368421,,,
0.618,2.961895158,,,
0.620,2.978004211,,,
0.622,2.784695579,,,
0.624,2.494732632,,,
0.626,2.236987789,,,
0.628,2.140333474,,,
0.630,2.124224421,,,
0.632,2.398078316,,,
0.634,2.639714105,,,
0.636,2.897458947,,,
0.638,3.010222316,,,
0.640,3.058549474,,,
0.642,2.897458947,,,
0.644,2.655823158,,,
0.646,2.365860211,,,
0.648,2.285314947,,,
0.650,2.349751158,,,
0.652,2.543059789,,,
0.654,2.800804632,,,
0.656,3.122985684,,,
0.658,3.171312842,,,
0.660,3.155203789,,,
0.662,3.026331368,,,
0.664,2.752477474,,,
0.666,2.526950737,,,
0.668,2.414187368,,,
0.670,2.381969263,,,
0.672,2.671932211,,,
0.674,2.929677053,,,
0.676,3.203530947,,,
0.678,3.348512421,,,
0.680,3.316294316,,,
0.682,3.187421895,,,
0.684,2.913568,,,
0.686,2.639714105,,,
0.688,2.575277895,,,
0.690,2.591386947,,,
0.692,2.816913684,,,
0.694,3.058549474,,,
0.696,3.396839579,,,
0.698,3.509602947,,,
0.700,3.477384842,,,
0.702,3.267967158,,,
0.704,2.961895158,,,
0.706,2.639714105,,,
0.708,2.623605053,,,
0.710,2.639714105,,,
0.712,2.849131789,,,
0.714,3.251858105,,,
0.716,3.412948632,,,
0.718,3.493493895,,,
0.720,3.396839579,,,
0.722,3.21964,,,
0.724,2.881349895,,,
0.726,2.623605053,,,
0.728,2.559168842,,,
0.730,2.543059789,,,
0.732,2.752477474,,,
0.734,3.090767579,,,
0.736,3.235749053,,,
0.738,3.300185263,,,
0.740,3.155203789,,,
0.742,2.994113263,,,
0.744,2.655823158,,,
0.746,2.365860211,,,
0.748,2.285314947,,,
0.750,2.301424,,,
0.752,2.446405474,,,
0.754,2.784695579,,,
0.756,2.929677053,,,
0.758,2.978004211,,,
0.760,2.881349895,,,
0.762,2.688041263,,,
0.764,2.333642105,,,
0.766,2.092006316,,,
0.768,1.979242947,,,
0.770,2.043679158,,,
0.772,2.204769684,,,
0.774,2.575277895,,,
0.776,2.736368421,,,
0.778,2.784695579,,,
0.780,2.704150316,,,
0.782,2.494732632,,,
0.784,2.124224421,,,
0.786,1.963133895,,,
0.788,1.850370526,,,
0.790,1.979242947,,,
0.792,2.156442526,,,
0.794,2.478623579,,,
0.796,2.639714105,,,
0.798,2.688041263,,,
0.800,2.543059789,,,
0.802,2.398078316,,,
0.804,2.059788211,,,
0.806,1.866479579,,,
0.808,1.834261474,,,
0.810,1.947024842,,,
0.812,2.108115368,,,
0.814,2.575277895,,,
0.816,2.671932211,,,
0.818,2.752477474,,,
0.820,2.607496,,,
0.822,2.430296421,,,
0.824,2.108115368,,,
0.826,1.834261474,,,
0.828,1.866479579,,,
0.830,2.027570105,,,
0.832,2.140333474,,,
0.834,2.575277895,,,
0.836,2.720259368,,,
0.838,2.671932211,,,
0.840,2.591386947,,,
0.842,2.381969263,,,
0.844,2.075897263,,,
0.846,1.930915789,,,
0.848,1.866479579,,,
0.850,2.059788211,,,
0.852,2.236987789,,,
0.854,2.623605053,,,
0.856,2.784695579,,,
0.858,2.784695579,,,
0.860,2.639714105,,,
0.862,2.462514526,,,
0.864,2.108115368,,,
0.866,1.930915789,,,
0.868,1.930915789,,,
0.870,2.075897263,,,
0.872,2.236987789,,,
0.874,2.655823158,,,
0.876,2.784695579,,,
0.878,2.768586526,,,
0.880,2.591386947,,,
0.882,2.381969263,,,
0.884,2.172551579,,,
0.886,1.898697684,,,
0.888,1.930915789,,,
0.890,2.075897263,,,
0.892,2.317533053,,,
0.894,2.639714105,,,
0.896,2.752477474,,,
0.898,2.800804632,,,
0.900,2.526950737,,,
0.902,2.285314947,,,
0.904,2.011461053,,,
0.906,1.947024842,,,
0.908,1.914806737,,,
0.910,2.108115368,,,
0.912,2.333642105,,,
0.914,2.623605053,,,
0.916,2.736368421,,,
0.918,2.736368421,,,
0.920,2.575277895,,,
0.922,2.349751158,,,
0.924,2.011461053,,,
0.926,1.882588632,,,
0.928,1.914806737,,,
0.930,2.059788211,,,
0.932,2.381969263,,,
0.934,2.655823158,,,
0.936,2.768586526,,,
0.938,2.784695579,,,
0.940,2.543059789,,,
0.942,2.301424,,,
0.944,2.059788211,,,
0.946,1.898697684,,,
0.948,1.947024842,,,
0.950,2.108115368,,,
0.952,2.414187368,,,
0.954,2.688041263,,,
0.956,2.800804632,,,
0.958,2.688041263,,,
0.960,2.510841684,,,
0.962,2.269205895,,,
0.964,2.011461053,,,
0.966,1.914806737,,,
0.968,1.947024842,,,
0.970,2.059788211,,,
0.972,2.381969263,,,
0.974,2.688041263,,,
0.976,2.736368421,,,
0.978,2.688041263,,,
0.980,2.543059789,,,
0.982,2.236987789,,,
0.984,1.979242947,,,
0.986,1.914806737,,,
0.988,1.914806737,,,
0.990,2.172551579,,,
0.992,2.398078316,,,
0.994,2.623605053,,,
0.996,2.720259368,,,
0.998,2.752477474,,,
1.000,2.575277895,,,
1.002,2.253096842,,,
1.004,2.027570105,,,
1.006,1.866479579,,,
1.008,1.979242947,,,
1.010,2.092006316,,,
1.012,2.446405474,,,
1.014,2.688041263,,,
1.016,2.784695579,,,
1.018,2.752477474,,,
1.020,2.575277895,,,
1.022,2.204769684,,,
1.024,1.947024842,,,
1.026,1.898697684,,,
1.028,1.979242947,,,
1.030,2.075897263,,,
1.032,2.478623579,,,
1.034,2.752477474,,,
1.036,2.833022737,,,
1.038,2.655823158,,,
1.040,2.543059789,,,
1.042,2.253096842,,,
1.044,2.075897263,,,
1.046,1.882588632,,,
1.048,1.979242947,,,
1.050,2.236987789,,,
1.052,2.591386947,,,
1.054,2.736368421,,,
1.056,2.833022737,,,
1.058,2.784695579,,,
1.060,2.639714105,,,
1.062,2.446405474,,,
1.064,2.043679158,,,
1.066,1.963133895,,,
1.068,2.092006316,,,
1.070,2.317533053,,,
1.072,2.591386947,,,
1.074,2.849131789,,,
1.076,2.881349895,,,
1.078,2.800804632,,,
1.080,2.688041263,,,
1.082,2.301424,,,
1.084,2.092006316,,,
1.086,2.059788211,,,
1.088,2.188660632,,,
1.090,2.301424,,,
1.092,2.688041263,,,
1.094,2.945786105,,,
1.096,3.026331368,,,
1.098,2.833022737,,,
1.100,2.671932211,,,
1.102,2.333642105,,,
1.104,2.108115368,,,
1.106,2.092006316,,,
1.108,2.188660632,,,
1.110,2.398078316,,,
