Time (s),Signal (V),Peak Time (s),Sample #,Type
00.470,2.507328031,,,
00.472,2.279259695,,,
00.474,2.329941547,,,
00.476,2.317271084,,,
00.478,2.241248306,,,
00.480,2.304600621,,,
00.482,2.443975715,,,
00.484,2.431305252,,,
00.486,2.519998494,,,
00.488,2.3806234,,,
00.490,2.570680346,,,
00.492,2.355282474,,,
00.494,2.21590738,,,
00.496,2.317271084,,,
00.498,2.393293863,,,
00.500,2.418634789,,,
00.502,2.570680346,,,
00.504,2.54533942,,,
00.506,2.558009883,,,
00.508,2.54533942,,,
00.510,2.481987105,,,
00.512,2.038520896,,,
00.514,2.17789599,,,
00.516,2.241248306,,,
00.518,2.228577843,,,
00.520,2.3806234,,,
00.522,2.481987105,,,
00.524,2.456646178,,,
00.526,2.431305252,,,
00.528,2.54533942,,,
00.530,2.393293863,,,
00.532,2.01317997,,,
00.534,2.152555064,,,
00.536,2.342612011,,,
00.538,2.456646178,,,
00.540,2.342612011,,,
00.542,2.393293863,,,
00.544,2.58335081,,,
00.546,2.469316642,,,
00.548,2.481987105,,,
00.550,2.266589232,,,
00.552,2.076532285,,,
00.554,2.317271084,,,
00.556,2.3806234,,,
00.558,2.469316642,,,
00.560,2.342612011,,,
00.562,2.469316642,,,
00.564,2.684714514,,,
00.566,2.596021273,,,
00.568,2.3806234,,,
00.570,2.367952937,,,
00.572,2.342612011,,,
00.574,2.317271084,,,
00.576,2.329941547,,,
00.578,2.228577843,,,
00.580,2.355282474,,,
00.582,2.367952937,,,
00.584,2.469316642,,,
00.586,2.672044051,,,
00.588,2.558009883,,,
00.590,2.418634789,,,
00.592,2.304600621,,,
00.594,2.000509507,,,
00.596,1.81045256,,,
00.598,2.17789599,,,
00.600,2.773407756,,,
00.602,2.798748682,,,
00.604,2.798748682,,,
00.606,2.925453313,,,
00.608,2.710055441,,,
00.610,2.608691736,,,
00.612,2.507328031,,,
00.614,2.342612011,,,
00.616,2.405964326,,,
00.618,2.519998494,,,
00.620,2.494657568,,,
00.622,2.532668957,,,
